,lambda,ag_s,ae_s,ae_v,ae_t
4012,3628.8802325148795,199.41322978211167,809.1559194135991,322.95803047932725,44.55258692979536
4013,3630.7294666914663,199.41004613239352,808.3435329021032,322.3934756218853,44.4993552359809
4014,3632.5796432157804,199.40686583086799,807.5340248337782,321.8307667527537,44.44632944056121
4015,3634.430762568031,199.40368887390417,806.7273803133854,321.26989480912823,44.39350837846569
4016,3636.2828252286718,199.40051525787547,805.9235845483506,320.71085078716084,44.34089089336418
4017,3638.1358316784017,199.3973449791594,805.1226228478785,320.1536257414833,44.2884758375856
4018,3639.989782398161,199.3941780341374,804.3244806220806,319.5982107847367,44.236262072037256
4019,3641.844677869145,199.39101441919541,803.529143381104,319.04459708709953,44.1842484661249
4020,3643.7005185727853,199.3878541307233,802.736596734282,318.49277587583157,44.13243389767452
4021,3645.5573049907603,199.38469716511514,801.9468263892808,317.9427384348116,44.0808172528539
4022,3647.4150376049947,199.38154351876906,801.1598181512629,317.3944761040839,44.029397426095784
4023,3649.2737168976555,199.37839318808747,800.3755579220557,316.8479802794096,43.97817332002165
4024,3651.1333433511663,199.3752461694767,799.5940316993251,316.30324241181916,43.927143845365876
4025,3652.9939174481847,199.37210245934742,798.8152255757702,315.7602540071744,43.876307920902
4026,3654.8554396716195,199.36896205411418,798.0391257383098,315.2190066257299,43.82566447336829
4027,3656.7179105046234,199.36582495019582,797.26571846729,314.6794918817005,43.775212437395155
4028,3658.5813304305975,199.36269114401526,796.4949901356925,314.1417014428323,43.72495075543283
4029,3660.445699933188,199.35956063199944,795.726927208353,313.60562702997936,43.674878377680166
4030,3662.311019496284,199.35643341057934,794.9615162411907,313.071260416682,43.624994262013985
